timestamp,temperature_c,humidity_pct,solar_radiation_wm2,wind_speed_ms,building_id,building_type,area_sqm,hour,day_of_week,day_name,month,is_weekend,is_exam_week,is_vacation,is_holiday,occupancy_rate,hvac_power_kwh,lighting_power_kwh,equipment_power_kwh,total_power_kwh,is_anomaly,anomaly_type,anomaly_severity,expected_normal_kwh
2024-01-01 00:00:00,10.76,89.34,0.0,0.69,Academic_Block_1,Academic,25000,0,0,Monday,1,0,0,1,0,0.02,35.06,12.15,16.94,61.5,0,Normal,None,61.5
2024-01-01 00:00:00,10.76,89.34,0.0,0.69,Central_Library,Library,12000,0,0,Monday,1,0,0,1,0,0.01,17.45,7.72,10.04,34.76,0,Normal,None,34.76
2024-01-01 00:00:00,10.76,89.34,0.0,0.69,Dining_Hall_Mess,Commercial,8000,0,0,Monday,1,0,0,1,0,0.01,10.63,5.14,6.36,20.52,0,Normal,None,20.52
2024-01-01 00:00:00,10.76,89.34,0.0,0.69,Hostel_Boys_Block,Residential,22000,0,0,Monday,1,0,0,1,0,0.199,27.19,15.88,19.22,62.54,0,Normal,None,62.54
2024-01-01 00:00:00,10.76,89.34,0.0,0.69,Hostel_Girls_Block,Residential,18000,0,0,Monday,1,0,0,1,0,0.202,21.24,12.79,16.83,49.91,0,Normal,None,49.91
2024-01-01 01:00:00,7.47,82.36,0.0,3.43,Academic_Block_1,Academic,25000,1,0,Monday,1,0,0,1,0,0.01,43.82,11.7,14.07,69.56,0,Normal,None,69.56
2024-01-01 01:00:00,7.47,82.36,0.0,3.43,Central_Library,Library,12000,1,0,Monday,1,0,0,1,0,0.01,21.81,7.72,10.13,40.78,0,Normal,None,40.78
2024-01-01 01:00:00,7.47,82.36,0.0,3.43,Dining_Hall_Mess,Commercial,8000,1,0,Monday,1,0,0,1,0,0.015,13.63,5.22,5.78,25.77,0,Normal,None,25.77
2024-01-01 01:00:00,7.47,82.36,0.0,3.43,Hostel_Boys_Block,Residential,22000,1,0,Monday,1,0,0,1,0,0.203,38.83,16.04,17.39,70.55,0,Normal,None,70.55
2024-01-01 01:00:00,7.47,82.36,0.0,3.43,Hostel_Girls_Block,Residential,18000,1,0,Monday,1,0,0,1,0,0.186,30.03,12.28,14.68,58.16,0,Normal,None,58.16
2024-01-01 02:00:00,10.14,84.6,0.0,2.15,Academic_Block_1,Academic,25000,2,0,Monday,1,0,0,1,0,0.038,37.47,12.96,16.64,65.8,0,Normal,None,65.8
2024-01-01 02:00:00,10.14,84.6,0.0,2.15,Central_Library,Library,12000,2,0,Monday,1,0,0,1,0,0.01,18.27,7.72,8.46,35.97,0,Normal,None,35.97
2024-01-01 02:00:00,10.14,84.6,0.0,2.15,Dining_Hall_Mess,Commercial,8000,2,0,Monday,1,0,0,1,0,0.01,11.18,5.14,8.23,24.2,0,Normal,None,24.2
2024-01-01 02:00:00,10.14,84.6,0.0,2.15,Hostel_Boys_Block,Residential,22000,2,0,Monday,1,0,0,1,0,0.23,30.36,17.11,19.54,67.41,0,Normal,None,67.41
2024-01-01 02:00:00,10.14,84.6,0.0,2.15,Hostel_Girls_Block,Residential,18000,2,0,Monday,1,0,0,1,0,0.182,22.48,12.15,15.37,49.66,0,Normal,None,49.66
2024-01-01 03:00:00,10.3,77.97,0.0,1.5,Academic_Block_1,Academic,25000,3,0,Monday,1,0,0,1,0,0.045,37.26,13.28,15.39,67.75,0,Normal,None,67.75
