Feature,Mean_Abs_SHAP
power_lag_24h,12.9586
area_sqm,7.8085
occ_x_temp,7.2282
power_lag_168h,5.0655
power_lag_1h,4.9556
occupancy_rate,4.4722
power_lag_48h,4.2247
cooling_degree_hours,3.7103
temperature_c,3.2409
temp_lag_24h,1.9783
heating_degree_hours,1.615
temp_lag_1h,1.213
apparent_temperature_c,0.8937
hour_cos,0.7311
heat_index_c,0.6292
power_rolling_mean_24h,0.5829
solar_radiation_wm2,0.5262
solar_thermal_index,0.4769
power_lag_2h,0.4616
occ_x_business,0.4301
power_rolling_min_24h,0.4184
power_rolling_std_168h,0.4096
power_rolling_mean_168h,0.3712
month,0.3529
power_rolling_mean_6h,0.2609
power_rolling_std_24h,0.1767
humidity_pct,0.153
power_rolling_max_24h,0.1368
hour_sin,0.1224
hour,0.1017
power_rolling_std_6h,0.0936
dow_cos,0.0572
month_sin,0.0552
day_of_week,0.048
wind_speed_ms,0.0389
occ_x_exam,0.0324
dow_sin,0.0322
month_cos,0.0178
is_vacation,0.013
is_business_hour,0.0053
is_weekend,0.0044
is_exam_week,0.0043
is_holiday,0.0027
